id,title_en,title_es,href
network-canvas-maintenance-funding,Lead Network Canvas Developer awarded 2 years of funding to maintain the software,El desarrollador principal de Network Canvas recibe dos años de financiación para mantener el software,https://reporter.nih.gov/search/vB-u312oGkW58r46HT8FmA/project-details/11339209
summer-2026-app-release,New versions of all apps available now. Read the release announcement.,Ya están disponibles las nuevas versiones de todas las aplicaciones. Lea el anuncio de lanzamiento.,/summer-2026-update
social-network-influence-public-health,Social Network Influence in Public Health and How to Map It,La influencia de las redes sociales en la salud pública y cómo mapearla,https://www.feinberg.northwestern.edu/sites/ipham/news/Social-network-influence-in-public-health-and-how-to-map-it.html
network-canvas-insna-award,Network Canvas wins INSNA Award,Network Canvas gana un premio de INSNA,https://www.insna.org/richards-awards
