id,name,institution_en,institution_es,photo
kate-banner,Kate Banner,Northwestern University,Universidad Northwestern,/images/team/kate-banner.png
michelle-birkett,Michelle Birkett,Northwestern University,Universidad Northwestern,/images/team/michelle-birkett.png
caden-buckhalt,Caden Buckhalt,Northwestern University,Universidad Northwestern,/images/team/caden-buckhalt.jpg
noshir-contractor,Noshir Contractor,Northwestern University,Universidad Northwestern,/images/team/noshir-contractor.jpg
bernie-hogan,Bernie Hogan,University of Oxford,Universidad de Oxford,/images/team/bernie-hogan.png
patrick-janulis,Patrick Janulis,Northwestern University,Universidad Northwestern,/images/team/patrick-janulis.jpg
joshua-melville,Joshua Melville,Northwestern University,Universidad Northwestern,/images/team/joshua-melville.jpg
gregory-phillips-ii,Gregory Phillips II,Northwestern University,Universidad Northwestern,/images/team/gregory-phillips.jpg
